"Site","Table","Rows"
"Site 16","wp_16_umbrella_backup","0"
"Site 16","wp_16_umbrella_log","0"
"Site 16","wp_16_umbrella_task_backup","0"
"Site 16","wp_16_wpfm_backup","0"
"Site 16","wp_16_wpr_performance_monitoring","0"
"Site 16","wp_16_wpr_preload_fonts","0"
"Site 16","wp_16_wpr_rucss_used_css","0"
"Site 17","wp_17_relevanssi","11300"
"Site 17","wp_17_postmeta","4731"
"Site 17","wp_17_posts","1717"
"Site 17","wp_17_trp_dictionary_en_gb_zh_cn","1463"
"Site 17","wp_17_yoast_seo_meta","1256"
"Site 17","wp_17_term_relationships","813"
"Site 17","wp_17_yoast_seo_links","730"
"Site 17","wp_17_trp_gettext_zh_cn","590"
"Site 17","wp_17_trp_gettext_en_gb","531"
"Site 17","wp_17_options","461"
"Site 17","wp_17_term_taxonomy","26"
"Site 17","wp_17_terms","26"
"Site 17","wp_17_yoast_migrations","24"
"Site 17","wp_17_gf_form","12"
"Site 17","wp_17_gf_form_meta","12"
"Site 17","wp_17_redirection_items","9"
"Site 17","wp_17_gf_addon_feed","4"
"Site 17","wp_17_redirection_groups","2"
"Site 17","wp_17_actionscheduler_actions","0"
"Site 17","wp_17_actionscheduler_claims","0"
"Site 17","wp_17_actionscheduler_groups","0"
"Site 17","wp_17_actionscheduler_logs","0"
"Site 17","wp_17_cmplz_cookiebanners","0"
"Site 17","wp_17_cmplz_cookies","0"
"Site 17","wp_17_cmplz_dnsmpd","0"
"Site 17","wp_17_cmplz_services","0"
"Site 17","wp_17_cmplz_statistics","0"
"Site 17","wp_17_commentmeta","0"
"Site 17","wp_17_comments","0"
"Site 17","wp_17_ewwwio_images","0"
"Site 17","wp_17_ewwwio_queue","0"
"Site 17","wp_17_gf_draft_submissions","0"
"Site 17","wp_17_gf_entry","0"
"Site 17","wp_17_gf_entry_meta","0"
"Site 17","wp_17_gf_entry_notes","0"
"Site 17","wp_17_gf_form_revisions","0"
"Site 17","wp_17_gf_form_view","0"
"Site 17","wp_17_links","0"
"Site 17","wp_17_pum_subscribers","0"
"Site 17","wp_17_redirection_404","0"
"Site 17","wp_17_redirection_logs","0"
"Site 17","wp_17_relevanssi_log","0"
"Site 17","wp_17_relevanssi_stopwords","0"
"Site 17","wp_17_termmeta","0"
"Site 17","wp_17_wpfm_backup","0"
"Site 17","wp_17_yoast_indexable","0"
"Site 17","wp_17_yoast_indexable_hierarchy","0"
"Site 17","wp_17_yoast_primary_term","0"
"Site 17","wp_17_yoast_prominent_words","0"
"Site 18","wp_18_relevanssi","3083"
"Site 18","wp_18_postmeta","655"
"Site 18","wp_18_options","493"
"Site 18","wp_18_relevanssi_stopwords","423"
"Site 18","wp_18_term_taxonomy","246"
"Site 18","wp_18_terms","246"
"Site 18","wp_18_posts","127"
"Site 18","wp_18_yoast_seo_meta","98"
"Site 18","wp_18_term_relationships","68"
"Site 18","wp_18_yoast_seo_links","63"
"Site 18","wp_18_wpmailsmtp_tasks_meta","32"
"Site 18","wp_18_yoast_indexable","32"
"Site 18","wp_18_yoast_migrations","26"
"Site 18","wp_18_yoast_indexable_hierarchy","14"
"Site 18","wp_18_redirection_groups","2"
"Site 18","wp_18_gf_addon_feed","1"
"Site 18","wp_18_gf_form","1"
"Site 18","wp_18_gf_form_meta","1"
"Site 18","wp_18_actionscheduler_actions","0"
"Site 18","wp_18_actionscheduler_claims","0"
"Site 18","wp_18_actionscheduler_groups","0"
"Site 18","wp_18_actionscheduler_logs","0"
"Site 18","wp_18_cmplz_cookiebanners","0"
"Site 18","wp_18_cmplz_cookies","0"
"Site 18","wp_18_cmplz_dnsmpd","0"
"Site 18","wp_18_cmplz_services","0"
"Site 18","wp_18_cmplz_statistics","0"
"Site 18","wp_18_commentmeta","0"
"Site 18","wp_18_comments","0"
"Site 18","wp_18_ewwwio_images","0"
"Site 18","wp_18_ewwwio_queue","0"
"Site 18","wp_18_gf_draft_submissions","0"
